"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",41828,575,39814,1412,11,27,802986,"JP-01"
"Aomori","青森県",2539,38,2470,31,0,0,52521,"JP-02"
"Iwate","岩手県",1788,96,1645,47,1,0,89077,"JP-03"
"Miyagi","宮城県",9319,162,9048,91,3,18,161279,"JP-04"
"Akita","秋田県",939,44,875,20,2,0,16159,"JP-05"
"Yamagata","山形県",2061,41,1973,47,1,0,67445,"JP-06"
"Fukushima","福島県",5090,182,4747,161,4,0,290672,"JP-07"
"Ibaraki","茨城県",10837,254,10417,166,5,0,33871,"JP-08"
"Tochigi","栃木県",7242,183,6977,82,10,0,312726,"JP-09"
"Gunma","群馬県",8088,47,7887,154,3,0,199003,"JP-10"
"Saitama","埼玉県",47928,1469,45622,837,23,0,999757,"JP-11"
"Chiba","千葉県",42044,1417,39910,717,16,0,718903,"JP-12"
"Tokyo","東京都",181638,6246,173136,2256,61,0,2606875,"JP-13"
"Kanagawa","神奈川県",70316,2292,67060,964,39,0,1072099,"JP-14"
"Niigata","新潟県",3489,99,3337,53,0,0,177804,"JP-15"
"Toyama","富山県",2058,22,1998,38,2,0,76215,"JP-16"
"Ishikawa","石川県",4034,96,3820,115,1,3,126604,"JP-17"
"Fukui","福井県",1389,106,1248,35,1,0,72341,"JP-18"
"Yamanashi","山梨県",2144,51,2072,21,0,0,62325,"JP-19"
"Nagano","長野県",5060,39,5005,93,0,77,212206,"JP-20"
"Gifu","岐阜県",9494,55,9252,187,5,0,278331,"JP-21"
"Shizuoka","静岡県",9595,337,9106,152,5,0,418670,"JP-22"
"Aichi","愛知県",51559,622,49955,982,15,0,854147,"JP-23"
"Mie","三重県",5345,98,5273,113,3,139,148938,"JP-24"
"Shiga","滋賀県",5626,79,5457,90,2,0,158013,"JP-25"
"Kyoto","京都府",16813,173,16366,247,4,27,292101,"JP-26"
"Osaka","大阪府",104849,1536,99814,2693,121,806,2254781,"JP-27"
"Hyogo","兵庫県",41245,315,39620,1310,15,0,522957,"JP-28"
"Nara","奈良県",8465,132,8201,132,6,0,174026,"JP-29"
"Wakayama","和歌山県",2710,17,2586,49,1,58,42534,"JP-30"
"Tottori","鳥取県",495,21,464,2,0,8,86135,"JP-31"
"Shimane","島根県",561,8,551,2,0,0,32023,"JP-32"
"Okayama","岡山県",7616,22,7455,126,1,13,168599,"JP-33"
"Hiroshima","広島県",11575,72,11316,176,8,11,565038,"JP-34"
"Yamaguchi","山口県",3175,38,3057,80,1,0,124469,"JP-35"
"Tokushima","徳島県",1666,11,1592,63,0,0,66573,"JP-36"
"Kagawa","香川県",2118,23,2069,31,1,5,88645,"JP-37"
"Ehime","愛媛県",2758,6,2677,75,2,0,98760,"JP-38"
"Kochi","高知県",1896,70,1799,27,4,0,11842,"JP-39"
"Fukuoka","福岡県",35930,412,34958,525,9,35,856843,"JP-40"
"Saga","佐賀県",2570,18,2564,24,0,36,58837,"JP-41"
"Nagasaki","長崎県",3229,40,3120,69,0,0,128664,"JP-42"
"Kumamoto","熊本県",6495,27,6349,119,1,0,82514,"JP-43"
"Oita","大分県",3504,18,3422,64,0,0,174263,"JP-44"
"Miyazaki","宮崎県",3107,19,3048,27,0,13,44740,"JP-45"
"Kagoshima","鹿児島県",3736,54,3677,39,1,34,113742,"JP-46"
"Okinawa","沖縄県",21349,650,20499,206,44,6,259185,"JP-47"
