"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths"
"Hokkaido","北海道",272,100,161,11
"Aomori","青森県",22,18,4,0
"Iwate","岩手県",0,0,,
"Miyagi","宮城県",54,49,5,0
"Akita","秋田県",15,10,5,0
"Yamagata","山形県",35,35,0,0
"Fukushima","福島県",38,35,3,0
"Ibaraki","茨城県",110,97,10,3
"Tochigi","栃木県",36,29,7,0
"Gunma","群馬県",91,84,5,2
"Saitama","埼玉県",414,383,26,5
"Chiba","千葉県",474,431,39,4
"Tokyo","東京都",2171,2095,57,19
"Kanagawa","神奈川県",572,505,55,12
"Niigata","新潟県",42,17,25,0
"Toyama","富山県",49,48,1,0
"Ishikawa","石川県",121,116,5,0
"Fukui","福井県",92,83,7,2
"Yamanashi","山梨県",35,33,2,0
"Nagano","長野県",34,30,4,0
"Gifu","岐阜県",112,106,5,1
"Shizuoka","静岡県",46,43,3,0
"Aichi","愛知県",328,242,63,23
"Mie","三重県",17,6,11,0
"Shiga","滋賀県",40,35,5,0
"Kyoto","京都府",205,169,33,3
"Osaka","大阪府",836,683,147,6
"Hyogo","兵庫県",384,311,59,14
"Nara","奈良県",44,36,8,0
"Wakayama","和歌山県",34,16,17,1
"Tottori","鳥取県",1,1,0,0
"Shimane","島根県",8,8,0,0
"Okayama","岡山県",16,15,1,0
"Hiroshima","広島県",57,54,3,0
"Yamaguchi","山口県",24,19,5,0
"Tokushima","徳島県",3,0,3,0
"Kagawa","香川県",16,15,1,0
"Ehime","愛媛県",37,31,4,2
"Kochi","高知県",60,44,16,0
"Fukuoka","福岡県",373,366,7,0
"Saga","佐賀県",13,12,1,0
"Nagasaki","長崎県",14,12,2,0
"Kumamoto","熊本県",28,22,5,1
"Oita","大分県",43,33,10,0
"Miyazaki","宮崎県",17,14,3,0
"Kagoshima","鹿児島県",4,4,0,0
"Okinawa","沖縄県",72,69,3,0
