"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",20994,759,19443,749,16,43,448391,"JP-01"
"Aomori","青森県",1031,136,875,20,0,0,25134,"JP-02"
"Iwate","岩手県",621,38,553,30,0,0,43843,"JP-03"
"Miyagi","宮城県",5915,1391,4493,31,10,0,89194,"JP-04"
"Akita","秋田県",283,6,271,6,0,0,7580,"JP-05"
"Yamagata","山形県",948,315,617,16,1,0,35071,"JP-06"
"Fukushima","福島県",2499,258,2130,111,11,0,149208,"JP-07"
"Ibaraki","茨城県",6740,322,6291,127,1,0,26469,"JP-08"
"Tochigi","栃木県",4638,207,4361,70,2,0,171640,"JP-09"
"Gunma","群馬県",5007,180,4728,99,3,0,113724,"JP-10"
"Saitama","埼玉県",32828,1420,30708,700,36,0,647531,"JP-11"
"Chiba","千葉県",29634,1088,27978,568,22,0,474663,"JP-12"
"Tokyo","東京都",120986,3204,116012,1770,45,0,1762746,"JP-13"
"Kanagawa","神奈川県",48071,843,46447,781,21,0,695356,"JP-14"
"Niigata","新潟県",1461,187,1256,18,2,0,82296,"JP-15"
"Toyama","富山県",938,21,888,29,0,0,41749,"JP-16"
"Ishikawa","石川県",1911,21,1824,64,0,2,60344,"JP-17"
"Fukui","福井県",589,38,526,25,0,0,35659,"JP-18"
"Yamanashi","山梨県",968,11,938,19,0,0,30877,"JP-19"
"Nagano","長野県",2796,240,2524,41,1,9,116474,"JP-20"
"Gifu","岐阜県",4953,130,4698,125,3,0,158928,"JP-21"
"Shizuoka","静岡県",5708,231,5359,118,2,0,246634,"JP-22"
"Aichi","愛知県",27264,650,26034,580,11,0,463713,"JP-23"
"Mie","三重県",2753,131,2632,70,2,80,76136,"JP-24"
"Shiga","滋賀県",2770,96,2619,55,5,0,86514,"JP-25"
"Kyoto","京都府",9460,209,9093,169,1,11,177218,"JP-26"
"Osaka","大阪府",52201,3178,47421,1184,92,418,1047093,"JP-27"
"Hyogo","兵庫県",19848,1136,18125,587,64,0,295406,"JP-28"
"Nara","奈良県",3771,278,3438,55,3,0,96480,"JP-29"
"Wakayama","和歌山県",1287,89,1156,18,4,24,26694,"JP-30"
"Tottori","鳥取県",241,25,205,2,0,9,47802,"JP-31"
"Shimane","島根県",287,1,286,0,0,0,17590,"JP-32"
"Okayama","岡山県",2693,76,2524,35,4,58,78444,"JP-33"
"Hiroshima","広島県",5151,74,4964,106,1,7,180106,"JP-34"
"Yamaguchi","山口県",1418,24,1351,43,0,0,68811,"JP-35"
"Tokushima","徳島県",535,71,446,18,2,0,32160,"JP-36"
"Kagawa","香川県",836,66,754,19,0,3,51035,"JP-37"
"Ehime","愛媛県",1365,287,1054,24,0,0,38877,"JP-38"
"Kochi","高知県",917,10,888,19,2,0,7442,"JP-39"
"Fukuoka","福岡県",18985,373,18280,332,5,0,508894,"JP-40"
"Saga","佐賀県",1189,35,1162,13,1,21,31922,"JP-41"
"Nagasaki","長崎県",1634,18,1577,39,0,0,77377,"JP-42"
"Kumamoto","熊本県",3506,25,3407,74,2,0,58021,"JP-43"
"Oita","大分県",1309,10,1277,22,1,0,92321,"JP-44"
"Miyazaki","宮崎県",1966,13,1924,22,0,7,24825,"JP-45"
"Kagoshima","鹿児島県",1830,51,1772,28,0,21,73230,"JP-46"
"Okinawa","沖縄県",9482,697,8663,128,4,6,164199,"JP-47"
