"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"Hokkaido","北海道",1199,93,1011,95,11,0,19327
"Aomori","青森県",27,0,26,1,0,0,946
"Iwate","岩手県",0,0,0,0,0,0,888
"Miyagi","宮城県",90,2,87,1,0,0,3509
"Akita","秋田県",16,0,16,0,0,0,984
"Yamagata","山形県",69,1,68,0,1,0,2505
"Fukushima","福島県",82,2,80,0,0,0,6249
"Ibaraki","茨城県",170,5,155,10,0,0,5168
"Tochigi","栃木県",66,1,65,0,0,0,6255
"Gunma","群馬県",151,2,130,19,0,0,4628
"Saitama","埼玉県",1054,47,942,65,3,0,31321
"Chiba","千葉県",929,21,863,45,2,0,17374
"Tokyo","東京都",5840,334,5183,323,20,0,69832
"Kanagawa","神奈川県",1434,57,1283,94,11,0,12108
"Niigata","新潟県",84,2,81,0,0,1,4799
"Toyama","富山県",227,0,205,22,0,0,3847
"Ishikawa","石川県",300,24,249,27,2,0,2873
"Fukui","福井県",122,0,114,8,0,0,3244
"Yamanashi","山梨県",72,1,70,1,0,0,5351
"Nagano","長野県",77,2,75,"-",0,0,3141
"Gifu","岐阜県",156,5,144,7,1,0,4859
"Shizuoka","静岡県",80,4,75,1,0,0,7108
"Aichi","愛知県",523,12,471,34,0,6,12180
"Mie","三重県",46,1,44,1,0,0,2791
"Shiga","滋賀県",101,2,98,1,1,0,2244
"Kyoto","京都府",365,5,342,18,0,0,9653
"Osaka","大阪府",1809,39,1684,86,5,0,37925
"Hyogo","兵庫県",702,6,653,43,0,0,14018
"Nara","奈良県",92,0,90,2,0,0,3491
"Wakayama","和歌山県",64,0,60,3,0,1,3904
"Tottori","鳥取県",3,0,3,0,0,0,1456
"Shimane","島根県",24,1,23,0,1,0,1219
"Okayama","岡山県",25,0,25,"-","-",0,1870
"Hiroshima","広島県",168,0,165,3,0,0,7657
"Yamaguchi","山口県",37,0,37,0,0,0,2129
"Tokushima","徳島県",5,0,4,1,0,0,848
"Kagawa","香川県",28,0,28,0,0,0,2522
"Ehime","愛媛県",82,4,74,4,0,0,2575
"Kochi","高知県",74,0,71,3,0,0,1935
"Fukuoka","福岡県",838,22,783,33,2,0,15619
"Saga","佐賀県",47,0,47,0,0,0,1600
"Nagasaki","長崎県",17,0,16,1,0,0,3136
"Kumamoto","熊本県",49,1,45,3,0,0,4178
"Oita","大分県",60,0,59,1,0,0,4663
"Miyazaki","宮崎県",17,0,17,0,0,0,1525
"Kagoshima","鹿児島県",11,1,10,0,0,0,2494
"Okinawa","沖縄県",142,0,139,7,0,0,3000
