"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"Hokkaido","北海道",934,462,424,48,23,0,8319
"Aomori","青森県",27,10,17,"-","-",10,749
"Iwate","岩手県",0,0,0,0,0,0,410
"Miyagi","宮城県",88,8,79,1,"-",0,2183
"Akita","秋田県",16,16,0,"-","-",16,861
"Yamagata","山形県",69,13,56,"-","-",0,2432
"Fukushima","福島県",81,36,45,0,"-",0,2343
"Ibaraki","茨城県",168,81,78,9,3,10,3826
"Tochigi","栃木県",54,29,25,"-","-",29,2287
"Gunma","群馬県",147,65,64,18,2,0,3038
"Saitama","埼玉県",962,396,525,41,10,0,11661
"Chiba","千葉県",879,392,448,39,12,168,12290
"Tokyo","東京都",4846,2514,2152,180,83,0,13124
"Kanagawa","神奈川県",1158,466,645,47,30,8,1610
"Niigata","新潟県",82,36,46,"-","-",0,3345
"Toyama","富山県",216,134,69,13,"-",0,2709
"Ishikawa","石川県",277,131,130,16,"-",0,2207
"Fukui","福井県",122,21,93,8,3,0,2026
"Yamanashi","山梨県",56,8,48,0,1,0,2806
"Nagano","長野県",74,37,37,"-",2,0,2054
"Gifu","岐阜県",150,30,114,6,1,0,3404
"Shizuoka","静岡県",73,26,46,1,2,0,3075
"Aichi","愛知県",491,118,339,34,5,3,8027
"Mie","三重県",45,12,32,1,0,0,2132
"Shiga","滋賀県",97,31,65,1,1,0,1444
"Kyoto","京都府",347,107,227,13,"-",0,5267
"Osaka","大阪府",1732,683,990,59,56,11,20263
"Hyogo","兵庫県",688,193,463,32,23,8,8850
"Nara","奈良県",90,22,66,2,"-",0,2035
"Wakayama","和歌山県",62,12,48,2,"-",0,3339
"Tottori","鳥取県",3,2,1,0,"-",0,1154
"Shimane","島根県",24,13,11,"-","-",13,896
"Okayama","岡山県",24,9,15,"-","-",1,1344
"Hiroshima","広島県",165,89,74,2,"-",0,5746
"Yamaguchi","山口県",37,4,33,"-","-",0,1521
"Tokushima","徳島県",5,2,3,"-","-",2,582
"Kagawa","香川県",28,15,13,0,0,0,1820
"Ehime","愛媛県",48,7,38,3,2,0,1238
"Kochi","高知県",74,10,61,3,0,0,1527
"Fukuoka","福岡県",653,178,451,24,"-",0,10429
"Saga","佐賀県",45,24,21,0,1,2,1219
"Nagasaki","長崎県",17,2,14,1,0,0,2320
"Kumamoto","熊本県",48,27,18,3,2,0,623
"Oita","大分県",60,8,51,1,"-",8,3415
"Miyazaki","宮崎県",17,5,12,"-","-",0,3466
"Kagoshima","鹿児島県",11,4,7,"-","-",4,1213
"Okinawa","沖縄県",142,55,82,5,5,0,1446
