"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",19388,561,18138,691,5,2,394409,"JP-01"
"Aomori","青森県",820,24,776,20,0,0,17718,"JP-02"
"Iwate","岩手県",555,2,523,30,0,0,27687,"JP-03"
"Miyagi","宮城県",3735,156,3554,25,5,0,70805,"JP-04"
"Akita","秋田県",269,1,262,6,0,0,7096,"JP-05"
"Yamagata","山形県",543,12,516,15,0,0,27916,"JP-06"
"Fukushima","福島県",2071,191,1800,80,8,0,118077,"JP-07"
"Ibaraki","茨城県",5969,339,5514,116,6,0,25001,"JP-08"
"Tochigi","栃木県",4157,111,3978,68,1,0,130365,"JP-09"
"Gunma","群馬県",4595,198,4310,87,4,0,96668,"JP-10"
"Saitama","埼玉県",29934,1323,27993,618,39,0,569518,"JP-11"
"Chiba","千葉県",27124,1396,25253,475,20,0,424387,"JP-12"
"Tokyo","東京都",113218,2892,108864,1462,51,0,1579922,"JP-13"
"Kanagawa","神奈川県",45555,1044,43797,714,27,0,612720,"JP-14"
"Niigata","新潟県",1110,74,1021,15,2,0,45953,"JP-15"
"Toyama","富山県",907,9,870,28,1,0,37151,"JP-16"
"Ishikawa","石川県",1877,93,1742,62,7,20,53499,"JP-17"
"Fukui","福井県",545,2,518,25,0,0,32587,"JP-18"
"Yamanashi","山梨県",941,4,920,17,0,0,27101,"JP-19"
"Nagano","長野県",2369,17,2343,41,0,32,101091,"JP-20"
"Gifu","岐阜県",4771,129,4530,112,11,0,140292,"JP-21"
"Shizuoka","静岡県",5231,187,4947,97,0,0,206239,"JP-22"
"Aichi","愛知県",26098,579,24981,538,29,0,403390,"JP-23"
"Mie","三重県",2564,110,2475,57,5,78,67122,"JP-24"
"Shiga","滋賀県",2546,150,2349,47,4,0,75787,"JP-25"
"Kyoto","京都府",9079,154,8781,158,2,14,159089,"JP-26"
"Osaka","大阪府",47594,923,45126,1134,75,411,828199,"JP-27"
"Hyogo","兵庫県",18130,362,17212,556,36,0,257318,"JP-28"
"Nara","奈良県",3396,66,3283,47,6,0,84240,"JP-29"
"Wakayama","和歌山県",1167,9,1116,18,0,24,24736,"JP-30"
"Tottori","鳥取県",210,2,203,2,0,3,42239,"JP-31"
"Shimane","島根県",284,1,283,0,0,0,16183,"JP-32"
"Okayama","岡山県",2518,44,2419,33,1,22,69524,"JP-33"
"Hiroshima","広島県",5037,31,4899,103,1,4,166610,"JP-34"
"Yamaguchi","山口県",1385,35,1309,41,0,0,60724,"JP-35"
"Tokushima","徳島県",461,26,419,16,2,0,27444,"JP-36"
"Kagawa","香川県",758,14,726,18,0,0,45936,"JP-37"
"Ehime","愛媛県",1066,23,1019,24,1,0,34001,"JP-38"
"Kochi","高知県",902,18,866,18,2,0,7175,"JP-39"
"Fukuoka","福岡県",18196,427,17466,303,17,0,456576,"JP-40"
"Saga","佐賀県",1078,52,1036,9,1,19,28780,"JP-41"
"Nagasaki","長崎県",1612,11,1564,37,0,0,69383,"JP-42"
"Kumamoto","熊本県",3455,32,3347,72,1,4,56893,"JP-43"
"Oita","大分県",1297,20,1255,22,0,0,82515,"JP-44"
"Miyazaki","宮崎県",1953,16,1930,21,1,14,24794,"JP-45"
"Kagoshima","鹿児島県",1762,16,1746,27,1,27,68566,"JP-46"
"Okinawa","沖縄県",8306,269,7922,120,1,5,148848,"JP-47"
