"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"Hokkaido","北海道",2410,207,2096,107,1,0,66373
"Aomori","青森県",41,4,36,1,0,0,2720
"Iwate","岩手県",25,2,23,0,0,0,4715
"Miyagi","宮城県",499,45,452,2,1,0,11735
"Akita","秋田県",59,1,58,0,0,0,2349
"Yamagata","山形県",81,3,77,1,0,0,5319
"Fukushima","福島県",324,69,250,5,3,0,23712
"Ibaraki","茨城県",715,39,658,18,4,0,13091
"Tochigi","栃木県",452,15,431,1,0,5,33701
"Gunma","群馬県",763,37,707,19,4,0,25758
"Saitama","埼玉県",5177,401,4674,102,9,0,160093
"Chiba","千葉県",4377,317,3986,74,12,0,107131
"Tokyo","東京都",28136,1865,25846,425,25,0,520982
"Kanagawa","神奈川県",7679,515,7011,153,17,0,174913
"Niigata","新潟県",179,6,173,0,0,0,16561
"Toyama","富山県",422,2,394,26,0,0,13702
"Ishikawa","石川県",786,21,718,47,0,0,14881
"Fukui","福井県",249,4,234,11,0,0,10299
"Yamanashi","山梨県",199,3,190,6,1,0,11097
"Nagano","長野県",320,4,315,3,0,2,20539
"Gifu","岐阜県",638,10,618,10,1,0,24608
"Shizuoka","静岡県",568,10,556,2,0,0,38416
"Aichi","愛知県",5581,232,5258,91,10,0,86751
"Mie","三重県",542,23,512,7,0,0,14421
"Shiga","滋賀県",519,15,496,8,0,0,13160
"Kyoto","京都府",1892,112,1753,27,1,0,47233
"Osaka","大阪府",11310,447,10623,224,21,16,206198
"Hyogo","兵庫県",2927,130,2738,59,13,0,61917
"Nara","奈良県",605,27,569,9,1,0,22780
"Wakayama","和歌山県",252,10,235,4,1,3,9838
"Tottori","鳥取県",36,1,35,0,0,0,5541
"Shimane","島根県",140,0,140,0,0,0,5962
"Okayama","岡山県",168,8,152,1,3,7,8654
"Hiroshima","広島県",642,45,594,3,1,0,24784
"Yamaguchi","山口県",209,8,199,2,1,0,10742
"Tokushima","徳島県",149,0,140,9,0,0,7122
"Kagawa","香川県",96,3,91,2,0,0,11948
"Ehime","愛媛県",115,1,108,6,0,0,4204
"Kochi","高知県",139,1,134,4,0,0,3554
"Fukuoka","福岡県",5112,70,4943,99,7,0,147207
"Saga","佐賀県",249,3,248,0,0,2,6335
"Nagasaki","長崎県",241,3,233,3,0,2,20360
"Kumamoto","熊本県",720,70,615,8,1,27,18020
"Oita","大分県",158,1,155,2,0,0,18654
"Miyazaki","宮崎県",344,0,344,1,0,1,8692
"Kagoshima","鹿児島県",456,24,432,12,0,12,21051
"Okinawa","沖縄県",2787,240,2500,51,8,4,45430
