"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths"
"Hokkaido","北海道",823,546,248,29
"Aomori","青森県",26,12,14,0
"Iwate","岩手県",0,0,0,0
"Miyagi","宮城県",88,27,61,0
"Akita","秋田県",16,3,13,0
"Yamagata","山形県",68,18,50,0
"Fukushima","福島県",75,56,19,0
"Ibaraki","茨城県",165,120,38,7
"Tochigi","栃木県",54,38,16,0
"Gunma","群馬県",146,116,15,15
"Saitama","埼玉県",878,809,52,17
"Chiba","千葉県",823,693,105,25
"Tokyo","東京都",4491,4413,59,19
"Kanagawa","神奈川県",1060,850,177,33
"Niigata","新潟県",77,45,32,0
"Toyama","富山県",209,162,38,9
"Ishikawa","石川県",260,224,23,13
"Fukui","福井県",122,39,75,8
"Yamanashi","山梨県",55,26,29,0
"Nagano","長野県",69,46,23,0
"Gifu","岐阜県",150,65,79,6
"Shizuoka","静岡県",73,48,24,1
"Aichi","愛知県",491,383,75,33
"Mie","三重県",45,25,19,1
"Shiga","滋賀県",96,60,35,1
"Kyoto","京都府",328,149,168,11
"Osaka","大阪府",1658,1056,557,45
"Hyogo","兵庫県",654,550,86,18
"Nara","奈良県",86,47,38,1
"Wakayama","和歌山県",62,29,31,2
"Tottori","鳥取県",3,2,1,0
"Shimane","島根県",23,16,7,0
"Okayama","岡山県",23,13,10,0
"Hiroshima","広島県",161,130,29,2
"Yamaguchi","山口県",34,10,24,0
"Tokushima","徳島県",5,1,3,1
"Kagawa","香川県",28,21,7,0
"Ehime","愛媛県",47,17,27,3
"Kochi","高知県",74,22,49,3
"Fukuoka","福岡県",648,460,171,17
"Saga","佐賀県",42,35,7,0
"Nagasaki","長崎県",17,7,9,1
"Kumamoto","熊本県",47,33,13,1
"Oita","大分県",60,28,31,1
"Miyazaki","宮崎県",17,6,11,0
"Kagoshima","鹿児島県",10,6,4,0
"Okinawa","沖縄県",142,114,24,4
