"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"Hokkaido","北海道",6113,1943,4036,134,17,0,116432
"Aomori","青森県",280,26,248,6,2,0,6294
"Iwate","岩手県",97,68,29,0,0,0,7190
"Miyagi","宮城県",1046,189,848,9,5,0,17017
"Akita","秋田県",74,7,67,0,1,0,3155
"Yamagata","山形県",105,19,85,1,0,0,7126
"Fukushima","福島県",458,48,404,6,4,0,36590
"Ibaraki","茨城県",1099,225,855,19,5,0,15414
"Tochigi","栃木県",542,46,496,2,4,2,49054
"Gunma","群馬県",994,53,901,20,2,20,33732
"Saitama","埼玉県",7230,889,6215,126,16,0,214783
"Chiba","千葉県",6109,710,5314,85,8,0,152376
"Tokyo","東京都",36256,3234,32546,476,38,0,694770
"Kanagawa","神奈川県",10780,1062,9535,183,37,0,232100
"Niigata","新潟県",274,79,195,0,1,0,20479
"Toyama","富山県",435,10,399,26,0,0,15977
"Ishikawa","石川県",831,7,775,49,0,0,20270
"Fukui","福井県",295,31,253,11,2,0,13040
"Yamanashi","山梨県",292,46,239,7,2,0,12762
"Nagano","長野県",545,155,389,6,0,5,27444
"Gifu","岐阜県",875,122,740,13,0,0,30679
"Shizuoka","静岡県",1053,293,756,4,3,0,50828
"Aichi","愛知県",8043,1206,6734,103,19,0,121305
"Mie","三重県",666,73,586,7,4,0,17127
"Shiga","滋賀県",708,83,616,9,0,0,14966
"Kyoto","京都府",2395,216,2144,35,3,0,59309
"Osaka","大阪府",16374,2164,13923,268,76,19,284006
"Hyogo","兵庫県",4223,513,3634,76,21,0,80976
"Nara","奈良県",929,177,741,11,4,0,29282
"Wakayama","和歌山県",361,60,291,4,4,6,11829
"Tottori","鳥取県",53,11,42,0,0,0,6177
"Shimane","島根県",142,1,141,0,0,0,6498
"Okayama","岡山県",445,109,310,11,3,15,17220
"Hiroshima","広島県",724,45,670,6,0,3,31336
"Yamaguchi","山口県",303,76,225,2,2,0,13795
"Tokushima","徳島県",175,8,160,9,2,2,7697
"Kagawa","香川県",125,17,106,2,0,0,15605
"Ehime","愛媛県",153,36,111,6,0,0,4880
"Kochi","高知県",144,0,140,4,0,0,3698
"Fukuoka","福岡県",5442,119,5217,106,3,0,185859
"Saga","佐賀県",290,16,275,1,0,2,8483
"Nagasaki","長崎県",253,6,243,3,0,1,25328
"Kumamoto","熊本県",940,71,839,11,1,19,22574
"Oita","大分県",196,35,158,3,0,0,24179
"Miyazaki","宮崎県",388,16,372,1,0,1,8869
"Kagoshima","鹿児島県",576,33,527,13,0,3,25386
"Okinawa","沖縄県",3887,355,3469,68,2,5,65911
