"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",41216,1415,38516,1382,29,97,770984,"JP-01"
"Aomori","青森県",2476,33,2412,31,0,0,49864,"JP-02"
"Iwate","岩手県",1659,50,1563,46,1,0,83733,"JP-03"
"Miyagi","宮城県",9104,64,8949,88,5,3,155430,"JP-04"
"Akita","秋田県",825,62,743,20,1,0,14558,"JP-05"
"Yamagata","山形県",2020,13,1960,47,2,0,64565,"JP-06"
"Fukushima","福島県",4840,117,4562,161,4,0,276045,"JP-07"
"Ibaraki","茨城県",10440,251,10027,162,6,0,33152,"JP-08"
"Tochigi","栃木県",6939,217,6641,81,11,0,283160,"JP-09"
"Gunma","群馬県",8022,56,7814,152,7,0,190917,"JP-10"
"Saitama","埼玉県",46100,1013,44257,830,13,0,955947,"JP-11"
"Chiba","千葉県",39826,1029,38093,704,17,0,671675,"JP-12"
"Tokyo","東京都",172041,4154,165665,2222,37,0,2488038,"JP-13"
"Kanagawa","神奈川県",66606,1618,64044,944,39,0,1022092,"JP-14"
"Niigata","新潟県",3397,51,3299,47,3,0,168208,"JP-15"
"Toyama","富山県",2036,63,1936,37,2,0,72570,"JP-16"
"Ishikawa","石川県",3927,46,3764,115,0,2,121110,"JP-17"
"Fukui","福井県",1240,165,1041,34,0,0,66408,"JP-18"
"Yamanashi","山梨県",2059,222,1816,21,0,0,54750,"JP-19"
"Nagano","長野県",5023,78,4929,91,2,75,199773,"JP-20"
"Gifu","岐阜県",9429,156,9087,186,4,0,267444,"JP-21"
"Shizuoka","静岡県",9206,315,8741,150,4,0,396428,"JP-22"
"Aichi","愛知県",50815,1206,48659,950,33,0,814830,"JP-23"
"Mie","三重県",5244,101,5171,110,4,138,142045,"JP-24"
"Shiga","滋賀県",5537,113,5334,90,6,0,149511,"JP-25"
"Kyoto","京都府",16539,158,16120,241,13,20,280079,"JP-26"
"Osaka","大阪府",103038,1457,98121,2647,170,813,2112180,"JP-27"
"Hyogo","兵庫県",40816,266,39271,1282,24,3,501880,"JP-28"
"Nara","奈良県",8263,170,7964,129,7,0,166297,"JP-29"
"Wakayama","和歌山県",2672,16,2549,49,2,58,41620,"JP-30"
"Tottori","鳥取県",466,2,455,2,0,7,82396,"JP-31"
"Shimane","島根県",552,2,549,1,1,0,29812,"JP-32"
"Okayama","岡山県",7587,72,7385,126,8,4,162012,"JP-33"
"Hiroshima","広島県",11470,187,11074,174,13,35,545235,"JP-34"
"Yamaguchi","山口県",3130,65,2988,77,1,0,119622,"JP-35"
"Tokushima","徳島県",1655,12,1580,63,0,0,64277,"JP-36"
"Kagawa","香川県",2091,26,2040,30,1,5,84979,"JP-37"
"Ehime","愛媛県",2752,13,2664,75,3,0,95439,"JP-38"
"Kochi","高知県",1788,93,1671,24,6,0,11163,"JP-39"
"Fukuoka","福岡県",35414,514,34344,519,16,37,822202,"JP-40"
"Saga","佐賀県",2554,17,2549,24,0,36,56182,"JP-41"
"Nagasaki","長崎県",3153,82,3002,69,0,0,123087,"JP-42"
"Kumamoto","熊本県",6464,85,6266,113,7,0,81798,"JP-43"
"Oita","大分県",3491,36,3393,62,1,0,166555,"JP-44"
"Miyazaki","宮崎県",3076,20,3019,27,0,10,44111,"JP-45"
"Kagoshima","鹿児島県",3653,47,3600,38,1,32,110319,"JP-46"
"Okinawa","沖縄県",20546,1262,19111,179,63,6,247994,"JP-47"
