"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"Hokkaido","北海道",12381,1848,10230,401,31,98,215175
"Aomori","青森県",396,25,365,6,2,0,8697
"Iwate","岩手県",341,108,213,20,3,0,13054
"Miyagi","宮城県",1801,370,1419,12,6,0,23979
"Akita","秋田県",96,4,91,1,0,0,3955
"Yamagata","山形県",330,101,226,3,5,0,9675
"Fukushima","福島県",758,174,573,11,6,0,50811
"Ibaraki","茨城県",2168,227,1907,34,11,0,18305
"Tochigi","栃木県",1073,271,802,4,12,4,66600
"Gunma","群馬県",1973,341,1599,33,10,0,49001
"Saitama","埼玉県",11985,2193,9611,181,32,0,292587
"Chiba","千葉県",9324,1340,7876,108,18,0,207373
"Tokyo","東京都",52382,5841,45973,568,64,0,915116
"Kanagawa","神奈川県",17387,2080,15065,242,57,0,321144
"Niigata","新潟県",448,69,379,3,0,3,26017
"Toyama","富山県",503,34,443,26,1,0,20475
"Ishikawa","石川県",974,90,838,50,0,4,27413
"Fukui","福井県",337,12,314,11,2,0,17946
"Yamanashi","山梨県",488,40,438,10,2,0,14349
"Nagano","長野県",1053,104,925,11,5,13,42266
"Gifu","岐阜県",1783,333,1425,25,7,0,57821
"Shizuoka","静岡県",2405,496,1877,32,8,0,78638
"Aichi","愛知県",14219,2157,11894,168,35,0,171494
"Mie","三重県",1161,153,993,15,4,0,26913
"Shiga","滋賀県",955,94,850,11,1,0,34089
"Kyoto","京都府",3829,737,3071,44,15,23,83002
"Osaka","大阪府",27500,3629,23369,502,160,0,419310
"Hyogo","兵庫県",8248,888,7221,139,42,0,124566
"Nara","奈良県",1712,254,1438,20,10,0,43905
"Wakayama","和歌山県",587,31,538,7,8,11,15857
"Tottori","鳥取県",70,7,62,0,1,1,21680
"Shimane","島根県",181,17,164,0,1,0,8556
"Okayama","岡山県",1124,204,642,12,3,266,27231
"Hiroshima","広島県",2377,405,1220,15,14,737,60968
"Yamaguchi","山口県",472,57,408,3,3,4,24734
"Tokushima","徳島県",192,5,178,9,0,0,14398
"Kagawa","香川県",211,23,185,3,0,0,20806
"Ehime","愛媛県",379,32,336,11,4,0,10881
"Kochi","高知県",549,190,353,6,4,0,5379
"Fukuoka","福岡県",7547,1021,6411,115,11,0,243185
"Saga","佐賀県",417,42,377,3,1,5,13682
"Nagasaki","長崎県",419,110,289,3,2,17,35060
"Kumamoto","熊本県",1468,172,1185,13,6,98,30918
"Oita","大分県",580,78,497,5,4,0,38198
"Miyazaki","宮崎県",669,82,587,5,1,5,11785
"Kagoshima","鹿児島県",890,95,795,13,1,13,34915
"Okinawa","沖縄県",5010,279,4657,79,6,5,84362
