"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",21361,852,19747,760,22,2,460342,"JP-01"
"Aomori","青森県",1108,179,909,20,0,0,26272,"JP-02"
"Iwate","岩手県",713,119,564,30,0,0,47379,"JP-03"
"Miyagi","宮城県",6594,1376,5183,35,12,0,96746,"JP-04"
"Akita","秋田県",303,24,273,6,1,0,7916,"JP-05"
"Yamagata","山形県",1077,274,786,17,1,0,37680,"JP-06"
"Fukushima","福島県",2654,275,2262,117,12,0,156790,"JP-07"
"Ibaraki","茨城県",6908,279,6502,127,2,0,27011,"JP-08"
"Tochigi","栃木県",4801,225,4483,70,2,23,177482,"JP-09"
"Gunma","群馬県",5131,201,4831,99,4,0,117138,"JP-10"
"Saitama","埼玉県",33609,1506,31396,707,35,0,667011,"JP-11"
"Chiba","千葉県",30203,1065,28558,580,16,0,488981,"JP-12"
"Tokyo","東京都",123350,3652,117913,1785,44,0,1803128,"JP-13"
"Kanagawa","神奈川県",48775,987,47000,788,24,0,714203,"JP-14"
"Niigata","新潟県",1586,220,1361,18,2,13,87307,"JP-15"
"Toyama","富山県",965,44,892,29,0,0,42803,"JP-16"
"Ishikawa","石川県",1973,77,1829,65,1,2,61517,"JP-17"
"Fukui","福井県",626,68,533,25,1,0,37652,"JP-18"
"Yamanashi","山梨県",992,31,942,19,1,0,32134,"JP-19"
"Nagano","長野県",2982,262,2704,42,0,26,122915,"JP-20"
"Gifu","岐阜県",5037,151,4757,129,3,0,163633,"JP-21"
"Shizuoka","静岡県",5849,218,5513,118,0,0,254505,"JP-22"
"Aichi","愛知県",27868,933,26342,593,8,0,477626,"JP-23"
"Mie","三重県",2863,208,2661,72,1,78,79034,"JP-24"
"Shiga","滋賀県",2869,157,2654,58,4,0,88655,"JP-25"
"Kyoto","京都府",9789,439,9200,173,3,23,181445,"JP-26"
"Osaka","大阪府",55748,5570,48522,1197,149,459,1099255,"JP-27"
"Hyogo","兵庫県",20933,1776,18561,596,74,0,308291,"JP-28"
"Nara","奈良県",4098,518,3525,55,6,0,100693,"JP-29"
"Wakayama","和歌山県",1384,164,1177,18,6,25,27551,"JP-30"
"Tottori","鳥取県",279,67,206,2,0,4,50607,"JP-31"
"Shimane","島根県",288,4,284,0,0,0,18022,"JP-32"
"Okayama","岡山県",2781,82,2575,36,3,88,81422,"JP-33"
"Hiroshima","広島県",5218,111,4995,106,1,6,181607,"JP-34"
"Yamaguchi","山口県",1440,36,1361,43,0,0,68811,"JP-35"
"Tokushima","徳島県",605,129,457,19,3,0,33567,"JP-36"
"Kagawa","香川県",935,157,762,19,0,3,53144,"JP-37"
"Ehime","愛媛県",1561,432,1105,24,3,0,42299,"JP-38"
"Kochi","高知県",937,29,889,19,2,0,7485,"JP-39"
"Fukuoka","福岡県",19160,362,18465,333,4,0,520057,"JP-40"
"Saga","佐賀県",1233,60,1179,13,0,19,32897,"JP-41"
"Nagasaki","長崎県",1646,24,1583,39,0,0,78802,"JP-42"
"Kumamoto","熊本県",3526,33,3419,74,2,0,58455,"JP-43"
"Oita","大分県",1326,24,1280,22,1,0,94718,"JP-44"
"Miyazaki","宮崎県",1966,21,1924,22,1,1,24926,"JP-45"
"Kagoshima","鹿児島県",1870,66,1797,28,0,21,74841,"JP-46"
"Okinawa","沖縄県",10039,873,9043,129,2,6,169174,"JP-47"
