"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",41529,637,39515,1411,18,34,790155,"JP-01"
"Aomori","青森県",2526,61,2434,31,0,0,51742,"JP-02"
"Iwate","岩手県",1737,80,1610,47,1,0,87392,"JP-03"
"Miyagi","宮城県",9206,100,9006,90,4,10,159332,"JP-04"
"Akita","秋田県",915,59,836,20,1,0,16024,"JP-05"
"Yamagata","山形県",2028,12,1969,47,1,0,66941,"JP-06"
"Fukushima","福島県",4985,149,4675,161,4,0,285843,"JP-07"
"Ibaraki","茨城県",10680,231,10283,166,5,0,33651,"JP-08"
"Tochigi","栃木県",7159,217,6860,82,8,0,306938,"JP-09"
"Gunma","群馬県",8054,37,7863,154,3,0,197085,"JP-10"
"Saitama","埼玉県",47157,1202,45123,832,21,0,984623,"JP-11"
"Chiba","千葉県",41139,1172,39255,712,17,0,705517,"JP-12"
"Tokyo","東京都",177436,4935,170260,2241,63,0,2566832,"JP-13"
"Kanagawa","神奈川県",68690,1738,65999,953,32,0,1059024,"JP-14"
"Niigata","新潟県",3434,51,3331,52,0,0,175273,"JP-15"
"Toyama","富山県",2049,19,1992,38,1,0,75011,"JP-16"
"Ishikawa","石川県",3972,51,3802,115,1,4,124317,"JP-17"
"Fukui","福井県",1335,117,1183,35,1,0,70715,"JP-18"
"Yamanashi","山梨県",2125,51,2053,21,0,0,58651,"JP-19"
"Nagano","長野県",5045,41,4988,93,0,77,210497,"JP-20"
"Gifu","岐阜県",9472,59,9226,187,3,0,274570,"JP-21"
"Shizuoka","静岡県",9436,246,9038,152,6,0,413085,"JP-22"
"Aichi","愛知県",51245,615,49656,974,16,0,844270,"JP-23"
"Mie","三重県",5286,62,5251,112,3,139,145510,"JP-24"
"Shiga","滋賀県",5580,58,5432,90,4,0,155275,"JP-25"
"Kyoto","京都府",16685,138,16281,246,4,20,287125,"JP-26"
"Osaka","大阪府",104064,1247,99334,2685,150,798,2194241,"JP-27"
"Hyogo","兵庫県",41043,257,39478,1308,17,0,515120,"JP-28"
"Nara","奈良県",8392,145,8115,132,7,0,172470,"JP-29"
"Wakayama","和歌山県",2693,17,2569,49,3,58,42211,"JP-30"
"Tottori","鳥取県",493,27,457,2,0,7,84934,"JP-31"
"Shimane","島根県",554,1,551,2,0,0,31436,"JP-32"
"Okayama","岡山県",7599,25,7439,126,4,9,165308,"JP-33"
"Hiroshima","広島県",11538,94,11253,176,10,15,557416,"JP-34"
"Yamaguchi","山口県",3162,46,3036,80,1,0,122050,"JP-35"
"Tokushima","徳島県",1658,4,1591,63,0,0,65792,"JP-36"
"Kagawa","香川県",2104,18,2060,31,2,5,87060,"JP-37"
"Ehime","愛媛県",2755,4,2676,75,3,0,97172,"JP-38"
"Kochi","高知県",1859,65,1767,27,5,0,11664,"JP-39"
"Fukuoka","福岡県",35697,332,34800,523,12,42,844175,"JP-40"
"Saga","佐賀県",2567,16,2563,24,0,36,57893,"JP-41"
"Nagasaki","長崎県",3217,67,3082,69,0,1,127033,"JP-42"
"Kumamoto","熊本県",6492,42,6331,119,2,0,82343,"JP-43"
"Oita","大分県",3495,15,3416,64,0,0,171409,"JP-44"
"Miyazaki","宮崎県",3102,29,3036,27,0,10,44655,"JP-45"
"Kagoshima","鹿児島県",3706,52,3647,39,1,32,112366,"JP-46"
"Okinawa","沖縄県",21107,782,20135,196,46,6,255494,"JP-47"
