"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",22842,1076,20894,821,25,51,504036,"JP-01"
"Aomori","青森県",1408,216,1172,20,0,0,30897,"JP-02"
"Iwate","岩手県",802,42,729,31,1,0,53589,"JP-03"
"Miyagi","宮城県",7808,838,6895,54,19,21,113960,"JP-04"
"Akita","秋田県",399,64,326,9,1,0,9437,"JP-05"
"Yamagata","山形県",1390,192,1168,30,5,0,44638,"JP-06"
"Fukushima","福島県",3094,303,2671,120,10,0,176193,"JP-07"
"Ibaraki","茨城県",7666,499,7037,130,10,0,28796,"JP-08"
"Tochigi","栃木県",5150,190,4890,70,4,0,192484,"JP-09"
"Gunma","群馬県",5602,307,5193,102,4,0,131474,"JP-10"
"Saitama","埼玉県",36237,1959,33543,735,33,0,724184,"JP-11"
"Chiba","千葉県",32072,1192,30267,613,11,0,531072,"JP-12"
"Tokyo","東京都",132903,5597,125442,1864,48,0,1944560,"JP-13"
"Kanagawa","神奈川県",51748,1745,49200,803,28,0,774760,"JP-14"
"Niigata","新潟県",2064,330,1716,18,2,0,100067,"JP-15"
"Toyama","富山県",1202,141,1032,29,3,0,48375,"JP-16"
"Ishikawa","石川県",2279,238,1971,68,9,2,67739,"JP-17"
"Fukui","福井県",817,168,618,31,1,0,43773,"JP-18"
"Yamanashi","山梨県",1102,63,1020,19,1,0,35312,"JP-19"
"Nagano","長野県",3635,391,3215,54,4,25,140370,"JP-20"
"Gifu","岐阜県",5492,316,5047,129,4,0,179305,"JP-21"
"Shizuoka","静岡県",6227,261,5845,121,3,0,280654,"JP-22"
"Aichi","愛知県",30818,2402,27801,615,15,0,527141,"JP-23"
"Mie","三重県",3351,418,2945,75,16,87,86936,"JP-24"
"Shiga","滋賀県",3364,391,2912,61,5,0,98992,"JP-25"
"Kyoto","京都府",11281,1094,10044,179,9,36,202076,"JP-26"
"Osaka","大阪府",72250,15317,54970,1309,328,654,1297933,"JP-27"
"Hyogo","兵庫県",27018,3990,22390,638,87,0,351769,"JP-28"
"Nara","奈良県",5486,979,4442,65,22,0,117790,"JP-29"
"Wakayama","和歌山県",1943,384,1508,20,54,31,30171,"JP-30"
"Tottori","鳥取県",351,81,262,2,0,6,58639,"JP-31"
"Shimane","島根県",320,19,301,0,0,0,19437,"JP-32"
"Okayama","岡山県",3385,246,2742,35,4,362,89012,"JP-33"
"Hiroshima","広島県",5531,193,5209,108,3,21,223467,"JP-34"
"Yamaguchi","山口県",1640,184,1413,43,0,0,77872,"JP-35"
"Tokushima","徳島県",1034,346,659,29,7,0,39798,"JP-36"
"Kagawa","香川県",1124,143,966,20,3,5,58870,"JP-37"
"Ehime","愛媛県",2080,370,1681,29,7,0,54073,"JP-38"
"Kochi","高知県",975,24,932,19,0,0,7663,"JP-39"
"Fukuoka","福岡県",20753,1287,19121,345,14,0,566531,"JP-40"
"Saga","佐賀県",1452,179,1280,13,0,20,36180,"JP-41"
"Nagasaki","長崎県",1852,188,1624,40,1,0,87425,"JP-42"
"Kumamoto","熊本県",3767,203,3487,77,5,0,61319,"JP-43"
"Oita","大分県",1457,105,1328,24,1,0,104118,"JP-44"
"Miyazaki","宮崎県",2080,56,1995,22,0,7,28287,"JP-45"
"Kagoshima","鹿児島県",1992,75,1910,28,0,21,79584,"JP-46"
"Okinawa","沖縄県",11867,1313,10430,130,9,6,183885,"JP-47"
