"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths"
"Hokkaido","北海道",185,46,131,8
"Aomori","青森県",9,9,0,0
"Iwate","岩手県",0,0,0,0
"Miyagi","宮城県",12,11,1,0
"Akita","秋田県",7,5,2,0
"Yamagata","山形県",1,1,0,0
"Fukushima","福島県",8,7,1,0
"Ibaraki","茨城県",26,24,0,2
"Tochigi","栃木県",14,12,2,0
"Gunma","群馬県",20,19,0,1
"Saitama","埼玉県",113,88,21,4
"Chiba","千葉県",181,154,26,1
"Tokyo","東京都",690,635,48,7
"Kanagawa","神奈川県",153,119,28,6
"Niigata","新潟県",31,21,10,0
"Toyama","富山県",8,8,0,0
"Ishikawa","石川県",16,11,5,0
"Fukui","福井県",31,30,0,1
"Yamanashi","山梨県",9,7,2,0
"Nagano","長野県",9,6,3,0
"Gifu","岐阜県",22,20,2,0
"Shizuoka","静岡県",6,3,3,0
"Aichi","愛知県",186,120,47,19
"Mie","三重県",12,10,2,0
"Shiga","滋賀県",8,5,3,0
"Kyoto","京都府",79,61,18,0
"Osaka","大阪府",312,239,71,2
"Hyogo","兵庫県",167,138,18,11
"Nara","奈良県",19,11,8,0
"Wakayama","和歌山県",20,5,14,1
"Tottori","鳥取県",0,0,0,0
"Shimane","島根県",0,0,0,0
"Okayama","岡山県",7,7,0,0
"Hiroshima","広島県",6,5,1,0
"Yamaguchi","山口県",6,3,3,0
"Tokushima","徳島県",3,2,1,0
"Kagawa","香川県",2,2,0,0
"Ehime","愛媛県",11,9,2,0
"Kochi","高知県",21,9,12,0
"Fukuoka","福岡県",62,57,5,0
"Saga","佐賀県",4,4,0,0
"Nagasaki","長崎県",5,4,1,0
"Kumamoto","熊本県",15,12,3,0
"Oita","大分県",30,29,1,0
"Miyazaki","宮崎県",3,2,1,0
"Kagoshima","鹿児島県",3,3,0,0
"Okinawa","沖縄県",9,7,2,0
