"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"Hokkaido","北海道",6684,2113,4428,143,19,0,122381
"Aomori","青森県",280,19,255,6,2,0,6349
"Iwate","岩手県",127,93,34,0,1,0,7560
"Miyagi","宮城県",1075,185,881,9,8,0,17396
"Akita","秋田県",74,6,68,0,1,0,3155
"Yamagata","山形県",107,19,88,1,0,1,7184
"Fukushima","福島県",474,62,406,6,4,0,37381
"Ibaraki","茨城県",1205,288,898,19,6,0,15503
"Tochigi","栃木県",558,59,499,2,5,2,51487
"Gunma","群馬県",1033,93,919,21,1,0,34203
"Saitama","埼玉県",7499,1002,6367,130,17,0,217347
"Chiba","千葉県",6308,800,5422,86,9,0,154668
"Tokyo","東京都",37317,3615,33224,478,40,0,707444
"Kanagawa","神奈川県",11181,1207,9790,184,44,0,234414
"Niigata","新潟県",295,91,204,0,1,0,20826
"Toyama","富山県",441,16,399,26,0,0,16124
"Ishikawa","石川県",833,8,776,49,0,0,20662
"Fukui","福井県",300,32,257,11,1,0,13504
"Yamanashi","山梨県",298,50,241,7,2,0,12801
"Nagano","長野県",592,175,416,6,0,5,27741
"Gifu","岐阜県",911,136,762,13,0,0,31292
"Shizuoka","静岡県",1111,339,768,4,3,0,51416
"Aichi","愛知県",8464,1413,6947,104,17,0,124076
"Mie","三重県",706,105,594,7,5,0,18271
"Shiga","滋賀県",730,92,629,9,0,0,25024
"Kyoto","京都府",2409,214,2160,35,3,0,60062
"Osaka","大阪府",17159,2613,14250,277,87,19,292105
"Hyogo","兵庫県",4485,596,3810,79,26,0,83625
"Nara","奈良県",975,193,771,11,4,0,29663
"Wakayama","和歌山県",379,64,305,4,4,6,12054
"Tottori","鳥取県",53,7,46,0,0,0,6197
"Shimane","島根県",142,1,141,0,0,0,6498
"Okayama","岡山県",485,109,310,11,3,55,17220
"Hiroshima","広島県",736,48,679,6,0,3,31670
"Yamaguchi","山口県",343,109,228,2,2,4,13795
"Tokushima","徳島県",178,8,161,9,2,0,7724
"Kagawa","香川県",129,21,106,2,0,0,15802
"Ehime","愛媛県",186,69,111,6,0,0,5240
"Kochi","高知県",146,2,140,4,0,0,3704
"Fukuoka","福岡県",5513,169,5238,106,3,0,189078
"Saga","佐賀県",293,18,276,1,0,2,8789
"Nagasaki","長崎県",254,11,243,3,0,3,25667
"Kumamoto","熊本県",951,76,841,11,1,23,22677
"Oita","大分県",209,46,160,3,0,0,24933
"Miyazaki","宮崎県",414,42,372,1,0,1,8918
"Kagoshima","鹿児島県",592,48,537,13,0,6,25683
"Okinawa","沖縄県",3967,340,3564,68,2,5,67188
