"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",19093,577,17867,677,3,28,381062,"JP-01"
"Aomori","青森県",816,27,769,20,1,0,17347,"JP-02"
"Iwate","岩手県",554,14,510,30,0,0,26654,"JP-03"
"Miyagi","宮城県",3612,104,3483,25,3,0,68128,"JP-04"
"Akita","秋田県",269,3,260,6,0,0,7032,"JP-05"
"Yamagata","山形県",543,14,514,15,0,0,17488,"JP-06"
"Fukushima","福島県",1947,112,1764,71,10,0,112232,"JP-07"
"Ibaraki","茨城県",5755,331,5315,109,9,0,24868,"JP-08"
"Tochigi","栃木県",4093,133,3894,66,4,0,125100,"JP-09"
"Gunma","群馬県",4502,178,4240,84,3,0,91472,"JP-10"
"Saitama","埼玉県",29347,1458,27326,563,38,0,549118,"JP-11"
"Chiba","千葉県",26395,1699,24243,453,25,0,405008,"JP-12"
"Tokyo","東京都",111676,3374,106926,1376,67,0,1529534,"JP-13"
"Kanagawa","神奈川県",44899,1075,43144,680,27,0,587587,"JP-14"
"Niigata","新潟県",1080,88,977,15,1,0,44544,"JP-15"
"Toyama","富山県",905,17,860,28,2,0,36107,"JP-16"
"Ishikawa","石川県",1851,143,1673,62,7,27,51318,"JP-17"
"Fukui","福井県",545,4,516,25,0,0,31854,"JP-18"
"Yamanashi","山梨県",939,10,914,16,1,1,25903,"JP-19"
"Nagano","長野県",2364,17,2338,41,0,32,97594,"JP-20"
"Gifu","岐阜県",4722,148,4464,110,7,0,134083,"JP-21"
"Shizuoka","静岡県",5141,214,4834,93,0,0,187116,"JP-22"
"Aichi","愛知県",25830,657,24655,518,31,0,389359,"JP-23"
"Mie","三重県",2528,139,2414,53,8,78,63656,"JP-24"
"Shiga","滋賀県",2467,138,2283,46,5,0,72992,"JP-25"
"Kyoto","京都府",9046,329,8578,154,2,15,154708,"JP-26"
"Osaka","大阪府",47123,1051,44543,1117,90,412,788301,"JP-27"
"Hyogo","兵庫県",17943,417,16996,530,41,0,247844,"JP-28"
"Nara","奈良県",3358,70,3242,46,5,0,81493,"JP-29"
"Wakayama","和歌山県",1163,12,1109,18,3,24,24494,"JP-30"
"Tottori","鳥取県",210,3,202,2,0,3,40661,"JP-31"
"Shimane","島根県",284,5,279,0,0,0,15625,"JP-32"
"Okayama","岡山県",2484,53,2389,32,2,10,66389,"JP-33"
"Hiroshima","広島県",5022,37,4875,102,5,8,157847,"JP-34"
"Yamaguchi","山口県",1382,56,1288,38,0,0,58758,"JP-35"
"Tokushima","徳島県",452,28,408,16,2,0,26408,"JP-36"
"Kagawa","香川県",753,28,707,18,1,0,44733,"JP-37"
"Ehime","愛媛県",1063,39,1001,23,1,0,32518,"JP-38"
"Kochi","高知県",884,1,866,17,1,0,7091,"JP-39"
"Fukuoka","福岡県",18038,711,17040,287,21,0,441889,"JP-40"
"Saga","佐賀県",1057,60,1009,8,0,20,28057,"JP-41"
"Nagasaki","長崎県",1612,36,1540,36,1,0,67315,"JP-42"
"Kumamoto","熊本県",3439,44,3330,72,5,7,56787,"JP-43"
"Oita","大分県",1293,33,1239,21,0,0,79520,"JP-44"
"Miyazaki","宮崎県",1951,24,1896,21,1,10,24715,"JP-45"
"Kagoshima","鹿児島県",1761,35,1726,26,2,26,67412,"JP-46"
"Okinawa","沖縄県",8193,267,7812,119,1,5,144904,"JP-47"
