"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",46765,2711,42546,1428,15,80,885538,"JP-01"
"Aomori","青森県",2872,210,2630,32,0,0,58519,"JP-02"
"Iwate","岩手県",2166,199,1920,47,0,0,96587,"JP-03"
"Miyagi","宮城県",10559,702,9703,91,6,63,177540,"JP-04"
"Akita","秋田県",1087,79,987,21,2,0,17804,"JP-05"
"Yamagata","山形県",2359,241,2071,47,2,0,73416,"JP-06"
"Fukushima","福島県",6481,850,5469,162,10,0,325144,"JP-07"
"Ibaraki","茨城県",14344,1982,12192,170,21,0,35004,"JP-08"
"Tochigi","栃木県",9314,1353,7872,89,17,0,359880,"JP-09"
"Gunma","群馬県",9864,1138,8508,155,10,63,221885,"JP-10"
"Saitama","埼玉県",66123,14582,50687,854,87,0,1135226,"JP-11"
"Chiba","千葉県",56413,7731,47946,736,55,0,820617,"JP-12"
"Tokyo","東京都",249285,36481,210493,2311,151,0,2910857,"JP-13"
"Kanagawa","神奈川県",96754,13640,82109,1005,142,0,1224026,"JP-14"
"Niigata","新潟県",4550,600,3896,54,7,0,204137,"JP-15"
"Toyama","富山県",2581,353,2190,38,6,0,84658,"JP-16"
"Ishikawa","石川県",5732,887,4723,118,11,4,141298,"JP-17"
"Fukui","福井県",1851,287,1528,36,1,0,84249,"JP-18"
"Yamanashi","山梨県",2666,357,2293,21,0,5,76621,"JP-19"
"Nagano","長野県",5688,418,5242,94,0,66,233083,"JP-20"
"Gifu","岐阜県",10145,394,9562,189,4,0,303028,"JP-21"
"Shizuoka","静岡県",12169,1654,10358,157,6,0,465943,"JP-22"
"Aichi","愛知県",56218,2981,52224,1013,13,0,938412,"JP-23"
"Mie","三重県",6283,650,5675,114,8,156,164729,"JP-24"
"Shiga","滋賀県",6678,721,5863,94,4,0,176830,"JP-25"
"Kyoto","京都府",20251,1965,17704,249,53,333,323201,"JP-26"
"Osaka","大阪府",122458,10509,108128,2733,374,1088,2574165,"JP-27"
"Hyogo","兵庫県",46767,3054,42393,1320,27,0,574263,"JP-28"
"Nara","奈良県",9717,764,8820,133,11,0,191995,"JP-29"
"Wakayama","和歌山県",3233,274,2836,49,21,74,47141,"JP-30"
"Tottori","鳥取県",988,308,653,3,1,24,104485,"JP-31"
"Shimane","島根県",802,94,706,2,1,0,37500,"JP-32"
"Okayama","岡山県",8935,599,7812,127,3,397,189599,"JP-33"
"Hiroshima","広島県",12741,534,11873,179,7,155,594849,"JP-34"
"Yamaguchi","山口県",3444,192,3172,80,0,0,133190,"JP-35"
"Tokushima","徳島県",1857,90,1704,63,1,0,74840,"JP-36"
"Kagawa","香川県",2574,339,2205,32,1,2,97579,"JP-37"
"Ehime","愛媛県",3169,287,2805,77,4,0,109289,"JP-38"
"Kochi","高知県",2185,109,2047,29,7,0,65164,"JP-39"
"Fukuoka","福岡県",44424,5637,37549,537,12,701,958790,"JP-40"
"Saga","佐賀県",2982,233,2714,25,0,10,67994,"JP-41"
"Nagasaki","長崎県",3767,364,3334,69,0,0,140509,"JP-42"
"Kumamoto","熊本県",7810,904,6785,121,6,0,89825,"JP-43"
"Oita","大分県",3932,288,3580,64,0,0,192826,"JP-44"
"Miyazaki","宮崎県",3398,243,3150,27,1,22,46942,"JP-45"
"Kagoshima","鹿児島県",4421,397,3920,39,0,65,123230,"JP-46"
"Okinawa","沖縄県",28741,4659,23774,239,82,69,296869,"JP-47"
