Date,Status,TT,AA,AF,AM,BG,DD,GA,HR,OR,SO,SN,TG
14-Apr-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,0
14-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
15-Apr-20,Confirmed,3,3,0,0,0,0,0,0,0,0,0,0
15-Apr-20,Recovered,1,1,0,0,0,0,0,0,0,0,0,0
15-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
16-Apr-20,Confirmed,7,7,0,0,0,0,0,0,0,0,0,0
16-Apr-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,0
16-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
17-Apr-20,Confirmed,4,2,0,2,0,0,0,0,0,0,0,0
17-Apr-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,0
17-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
18-Apr-20,Confirmed,9,5,0,0,0,3,0,0,1,0,0,0
18-Apr-20,Recovered,1,1,0,0,0,0,0,0,0,0,0,0
18-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
19-Apr-20,Confirmed,3,3,0,0,0,0,0,0,0,0,0,0
19-Apr-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,0
19-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
20-Apr-20,Confirmed,6,3,0,0,0,3,0,0,0,0,0,0
20-Apr-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,0
20-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
21-Apr-20,Confirmed,3,2,0,0,0,0,0,0,1,0,0,0
21-Apr-20,Recovered,5,4,0,0,0,1,0,0,0,0,0,0
21-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
22-Apr-20,Confirmed,2,1,1,0,0,0,0,0,0,0,0,0
22-Apr-20,Recovered,4,4,0,0,0,0,0,0,0,0,0,0
22-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
23-Apr-20,Confirmed,0,0,0,0,0,0,0,0,0,0,0,0
23-Apr-20,Recovered,4,2,0,2,0,0,0,0,0,0,0,0
23-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
24-Apr-20,Confirmed,1,1,0,0,0,0,0,0,0,0,0,0
24-Apr-20,Recovered,4,4,0,0,0,0,0,0,0,0,0,0
24-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
25-Apr-20,Confirmed,5,1,0,0,0,0,0,0,4,0,0,0
25-Apr-20,Recovered,12,12,0,0,0,0,0,0,0,0,0,0
25-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
26-Apr-20,Confirmed,1,0,0,0,0,0,0,0,0,1,0,0
26-Apr-20,Recovered,9,8,0,1,0,0,0,0,0,0,0,0
26-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
27-Apr-20,Confirmed,1,1,0,0,0,0,0,0,0,0,0,0
27-Apr-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,0
27-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
28-Apr-20,Confirmed,2,2,0,0,0,0,0,0,0,0,0,0
28-Apr-20,Recovered,8,8,0,0,0,0,0,0,0,0,0,0
28-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
29-Apr-20,Confirmed,4,0,0,0,0,0,0,0,1,3,0,0
29-Apr-20,Recovered,1,1,0,0,0,0,0,0,0,0,0,0
29-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
30-Apr-20,Confirmed,1,0,1,0,0,0,0,0,0,0,0,0
30-Apr-20,Recovered,7,7,0,0,0,0,0,0,0,0,0,0
30-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
1-May-20,Confirmed,2,0,0,0,0,0,0,0,0,2,0,0
1-May-20,Recovered,3,3,0,0,0,0,0,0,0,0,0,0
1-May-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
2-May-20,Confirmed,0,0,0,0,0,0,0,0,0,0,0,0
2-May-20,Recovered,6,0,0,0,0,6,0,0,0,0,0,0
2-May-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
3-May-20,Confirmed,2,0,0,0,0,0,0,0,1,0,1,0
3-May-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,0
3-May-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
4-May-20,Confirmed,5,1,0,1,0,0,0,0,0,3,0,0
4-May-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,0
4-May-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
5-May-20,Confirmed,5,2,2,0,0,0,0,0,1,0,0,0
5-May-20,Recovered,16,15,1,0,0,0,0,0,0,0,0,0
5-May-20,Deceased,1,1,0,0,0,0,0,0,0,0,0,0
6-May-20,Confirmed,17,4,7,0,0,0,0,0,0,6,0,0
6-May-20,Recovered,2,2,0,0,0,0,0,0,0,0,0,0
6-May-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
7-May-20,Confirmed,29,21,0,0,0,0,0,0,2,0,2,4
7-May-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,0
7-May-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
8-May-20,Confirmed,3,3,0,0,0,0,0,0,0,0,0,0
8-May-20,Recovered,2,1,0,0,0,0,0,0,1,0,0,0
8-May-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
9-May-20,Confirmed,16,13,0,1,0,0,0,0,0,0,2,0
9-May-20,Recovered,2,2,0,0,0,0,0,0,0,0,0,0
9-May-20,Deceased,1,1,0,0,0,0,0,0,0,0,0,0
10-May-20,Confirmed,29,21,0,0,0,0,0,0,1,7,0,0
10-May-20,Recovered,2,2,0,0,0,0,0,0,0,0,0,0
10-May-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
11-May-20,Confirmed,11,5,3,0,0,0,0,0,1,0,0,2
11-May-20,Recovered,6,6,0,0,0,0,0,0,0,0,0,0
11-May-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
12-May-20,Confirmed,11,0,8,1,0,0,0,0,0,1,0,1
12-May-20,Recovered,1,1,0,0,0,0,0,0,0,0,0,0
12-May-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
13-May-20,Confirmed,2,0,0,0,0,0,0,0,0,1,0,1
13-May-20,Recovered,2,2,0,0,0,0,0,0,0,0,0,0
13-May-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
14-May-20,Confirmed,9,5,0,0,0,0,0,0,0,4,0,0
14-May-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,0
14-May-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
15-May-20,Confirmed,15,8,1,1,2,0,0,0,0,3,0,0
15-May-20,Recovered,4,4,0,0,0,0,0,0,0,0,0,0
15-May-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
16-May-20,Confirmed,19,2,0,1,0,0,0,0,2,11,0,3
16-May-20,Recovered,1,0,0,0,0,0,0,0,1,0,0,0
16-May-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
17-May-20,Confirmed,11,4,0,1,0,0,0,0,0,6,0,0
17-May-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,0
17-May-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
18-May-20,Confirmed,34,29,0,0,0,0,0,0,1,4,0,0
18-May-20,Recovered,3,3,0,0,0,0,0,0,0,0,0,0
18-May-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
19-May-20,Confirmed,14,9,0,0,0,0,0,0,1,3,0,1
19-May-20,Recovered,4,0,1,0,0,0,0,0,0,3,0,0
19-May-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
20-May-20,Confirmed,24,9,0,8,0,0,0,0,0,0,0,7
20-May-20,Recovered,2,0,0,2,0,0,0,0,0,0,0,0
20-May-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
21-May-20,Confirmed,9,3,2,2,0,0,0,0,0,1,0,1
21-May-20,Recovered,1,1,0,0,0,0,0,0,0,0,0,0
21-May-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
22-May-20,Confirmed,34,20,3,4,0,0,0,0,4,0,0,3
22-May-20,Recovered,5,5,0,0,0,0,0,0,0,0,0,0
22-May-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
23-May-20,Confirmed,61,48,3,1,0,0,0,0,2,7,0,0
23-May-20,Recovered,23,14,9,0,0,0,0,0,0,0,0,0
23-May-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
24-May-20,Confirmed,88,75,0,0,0,0,0,0,4,1,0,8
24-May-20,Recovered,1,0,0,0,0,0,0,0,1,0,0,0
24-May-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
25-May-20,Confirmed,73,59,0,2,0,0,0,0,0,8,0,4
25-May-20,Recovered,7,1,0,0,0,0,0,0,0,0,4,2
25-May-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
26-May-20,Confirmed,46,16,0,15,0,0,0,0,0,11,0,4
26-May-20,Recovered,8,6,0,0,0,0,0,0,0,0,2,0
26-May-20,Deceased,1,1,0,0,0,0,0,0,0,0,0,0
27-May-20,Confirmed,30,16,0,8,0,0,0,3,1,0,0,2
27-May-20,Recovered,14,14,0,0,0,0,0,0,0,0,0,0
27-May-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
28-May-20,Confirmed,100,94,0,0,0,0,0,0,3,2,0,1
28-May-20,Recovered,10,10,0,0,0,0,0,0,0,0,0,0
28-May-20,Deceased,1,1,0,0,0,0,0,0,0,0,0,0
29-May-20,Confirmed,137,109,1,17,2,0,0,0,8,0,0,0
29-May-20,Recovered,6,6,0,0,0,0,0,0,0,0,0,0
29-May-20,Deceased,1,1,0,0,0,0,0,0,0,0,0,0
30-May-20,Confirmed,95,56,1,5,0,2,0,3,22,3,0,3
30-May-20,Recovered,11,0,9,0,0,0,0,0,0,0,0,2
30-May-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
31-May-20,Confirmed,109,99,0,0,0,0,0,3,5,0,0,2
31-May-20,Recovered,1,0,0,0,0,0,0,0,0,0,0,1
31-May-20,Deceased,3,1,0,0,0,0,0,0,0,0,1,1
1-Jun-20,Confirmed,85,72,0,1,0,0,0,0,5,3,0,4
1-Jun-20,Recovered,8,5,0,0,0,0,0,0,3,0,0,0
1-Jun-20,Deceased,1,1,0,0,0,0,0,0,0,0,0,0
2-Jun-20,Confirmed,87,67,0,7,0,0,0,1,6,4,0,2
2-Jun-20,Recovered,14,0,0,0,0,0,0,0,6,8,0,0
2-Jun-20,Deceased,2,2,0,0,0,0,0,0,0,0,0,0
3-Jun-20,Confirmed,142,126,2,6,0,0,0,0,7,1,0,0
3-Jun-20,Recovered,15,6,0,0,0,0,0,0,0,9,0,0
3-Jun-20,Deceased,3,1,0,0,0,0,0,0,1,0,1,0
4-Jun-20,Confirmed,150,123,1,13,0,0,0,0,2,6,3,2
4-Jun-20,Recovered,4,4,0,0,0,0,0,0,0,0,0,0
4-Jun-20,Deceased,1,1,0,0,0,0,0,0,0,0,0,0
5-Jun-20,Confirmed,169,138,0,6,0,0,0,1,11,5,4,4
5-Jun-20,Recovered,12,0,0,10,2,0,0,0,0,0,0,0
5-Jun-20,Deceased,1,1,0,0,0,0,0,0,0,0,0,0
6-Jun-20,Confirmed,129,101,0,10,0,0,1,1,5,6,0,5
6-Jun-20,Recovered,19,10,6,0,0,0,0,0,0,1,0,2
6-Jun-20,Deceased,1,1,0,0,0,0,0,0,0,0,0,0
7-Jun-20,Confirmed,86,66,0,1,0,1,0,0,7,0,4,7
7-Jun-20,Recovered,63,46,0,1,0,0,0,0,3,13,0,0
7-Jun-20,Deceased,7,6,0,0,0,0,0,0,1,0,0,0
8-Jun-20,Confirmed,126,105,0,0,0,0,0,2,9,2,1,7
8-Jun-20,Recovered,17,8,2,5,2,0,0,0,0,0,0,0
8-Jun-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0
9-Jun-20,Confirmed,190,153,0,10,0,0,0,3,16,3,3,2
9-Jun-20,Recovered,18,11,0,5,0,0,0,0,0,2,0,0
9-Jun-20,Deceased,5,5,0,0,0,0,0,0,0,0,0,0
10-Jun-20,Confirmed,170,81,0,13,0,0,0,3,7,57,2,7
10-Jun-20,Recovered,22,22,0,0,0,0,0,0,0,0,0,0
10-Jun-20,Deceased,3,2,0,0,0,0,0,0,1,0,0,0
11-Jun-20,Confirmed,147,87,0,22,1,0,0,1,2,26,4,4
11-Jun-20,Recovered,33,32,0,1,0,0,0,0,0,0,0,0
11-Jun-20,Deceased,5,4,0,0,0,0,0,0,1,0,0,0
12-Jun-20,Confirmed,245,190,0,3,0,0,0,0,17,16,4,15
12-Jun-20,Recovered,17,16,0,0,0,0,0,0,0,0,1,0
12-Jun-20,Deceased,7,7,0,0,0,0,0,0,0,0,0,0
13-Jun-20,Confirmed,268,232,2,8,1,0,0,5,12,0,2,6
13-Jun-20,Recovered,44,28,4,6,0,0,0,3,3,0,0,0
13-Jun-20,Deceased,8,8,0,0,0,0,0,0,0,0,0,0
14-Jun-20,Confirmed,179,111,11,23,0,2,0,1,15,5,2,9
14-Jun-20,Recovered,50,41,3,4,0,0,0,0,0,0,0,2
14-Jun-20,Deceased,2,2,0,0,0,0,0,0,0,0,0,0
15-Jun-20,Confirmed,176,98,2,33,0,2,0,0,3,7,0,31
15-Jun-20,Recovered,75,31,1,5,0,0,0,0,10,28,0,0
15-Jun-20,Deceased,3,1,0,2,0,0,0,0,0,0,0,0
16-Jun-20,Confirmed,109,81,3,3,0,0,0,2,9,4,4,3
16-Jun-20,Recovered,118,115,0,0,0,0,0,0,0,0,0,3
16-Jun-20,Deceased,1,1,0,0,0,0,0,0,0,0,0,0
